date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:21	79417/79417	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213639-6710bf4f-ff7e4123cecadad0;gz%22	https://tamubali.com/wp-content/plugins/jet-elements/assets/js/jet-elements.min.js?ver=2.6.20.1	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/jet-elements/assets/js/jet-elements.min2980.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:22	9675/9675	---M-Z	200	added ('OK')	application/x-javascript	etag:%2225cb-6710bf52-d1b6dce791d4326c;gz%22	https://tamubali.com/wp-content/plugins/jet-popup/includes/elementor/assets/js/jet-popup-elementor-frontend.js?ver=2.0.6	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/jet-popup/includes/elementor/assets/js/jet-popup-elementor-frontend1717.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:22	681/681	---M-Z	200	added ('OK')	application/x-javascript	etag:%222a9-6722f31a-8329e0e23040f43a;gz%22	https://tamubali.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.min.js?ver=3.3.1	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.min3d36.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:22	18660/18660	---M-Z	200	added ('OK')	application/x-javascript	etag:%2248e4-6722f31a-b4ff04b900db07c0;gz%22	https://tamubali.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=3.3.1	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor3d36.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:22	10992/10992	---M-Z	200	added ('OK')	application/x-javascript	etag:%222af0-6715bb61-7fdeb2bccd74f3a4;gz%22	https://tamubali.com/wp-content/plugins/weddingpress/assets/js/wdp.min.js?ver=3.1.11.2	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/weddingpress/assets/js/wdp.min2ee1.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:22	87139/87139	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215463-6715bb61-f7897de126b73860;gz%22	https://tamubali.com/wp-content/plugins/weddingpress/assets/js/guest-form.js?ver=3.1.11.2	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/weddingpress/assets/js/guest-form2ee1.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:23	40063/40063	---M-Z	200	added ('OK')	application/x-javascript	etag:%229c7f-6710bf45-173c7bd17c1d3234;gz%22	https://tamubali.com/wp-content/plugins/powerpack-elements/assets/lib/tooltipster/tooltipster.min.js?ver=2.10.21	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/powerpack-elements/assets/lib/tooltipster/tooltipster.min0ee8.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:23	1540/1540	---M-Z	200	added ('OK')	application/x-javascript	etag:%22604-6710bf45-324483fbff5d8baf;gz%22	https://tamubali.com/wp-content/plugins/powerpack-elements/assets/js/min/frontend-tooltip.min.js?ver=2.10.21	C:/Users/budia/Downloads/Documents/wedding/tamubali.com/wp-content/plugins/powerpack-elements/assets/js/min/frontend-tooltip.min0ee8.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:24	64148/64148	---M-Z	200	added ('OK')	application/javascript	etag:%2261c68a7c-62f1%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.9.1/gsap.min.js	C:/Users/budia/Downloads/Documents/wedding/cdnjs.cloudflare.com/ajax/libs/gsap/3.9.1/gsap.min.js	(from https://tamubali.com/pawiwahan-arunda-radit3/)
09:58:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Nov%202024%2001:58:21%20GMT	http://unpkg.com/robots.txt		(from https://tamubali.com/pawiwahan-arunda-radit3/)
